created_at,nickname,faculty,toxicity,delusion,employability,actual_destiny
2026-03-02T16:52:34.463872,Bibingka,LKCSB,88,92,25,Selling obscure health supplements to her extended family and old schoolmates.
2026-03-16T19:38:32.854273,biancy,LKCSB,92,98,40,"Generic B2B sales rep for a failing tech company, constantly over-explaining mundane features."
2026-03-16T21:16:22.984942,Biancy,LKCSB,88,92,25,"Top-tier direct sales associate for an MLM scheme, forever chasing that ""founder"" high."
2026-03-16T21:17:28.956772,Wenna,SOE,88,75,55,"Marketing coordinator for a local fashion brand, leveraging her OOTD bot for internal ""insights."""
2026-03-16T21:26:24.680786,Sonic,SCIS,88,75,35,Selling insurance or B2B software for a company no one has ever heard of.
2026-03-19T14:44:22.249376,Anonymous Warrior,Unknown,88,92,55,Selling insurance to his relatives.
2026-03-19T15:06:08.777945,Anonymous Warrior,Unknown,88,75,55,Selling obscure B2B software solutions door-to-door.
2026-03-19T15:07:24.341401,Anonymous Warrior,Unknown,92,85,60,Mid-level B2B SaaS sales for an enterprise software nobody uses.
2026-03-19T15:09:28.297834,bob,LKCSB,92,88,45,Selling B2B SaaS for an EdTech company he once interned for.
2026-03-19T15:14:42.362511,Danzel,SCIS,88,75,60,"Senior Software Engineer at a major bank, optimizing legacy systems."
2026-03-19T15:40:19.997699,finance bro roast him pls,SOA,78,65,55,"He will be auditing the same obscure company for 10 years, living for year-end bonuses."
2026-03-19T15:44:55.044085,the best coder,SCIS,92,85,60,He'll spend 5 years debugging legacy code before trying to launch a failed 'drama tech' startup.
2026-03-19T15:47:16.095054,Still doesn't know what to do,SCIS,92,85,55,Mid-level consultant explaining Tableau dashboards to boomer executives.
2026-03-20T16:26:39.196132,heehaw,SOE,85,92,35,Spreadsheet jockey for a mid-tier accounting firm.
2026-03-20T16:31:09.906322,Sonyakun,SCIS,92,78,35,QA tester for a government agency's legacy system.
2026-03-20T16:54:58.799488,WannabeFinanceBro,LKCSB,85,95,35,"A life of aggressive B2B sales, consistently missing targets, and blaming 'macro headwinds'."
2026-03-20T16:58:41.497956,DelusionalPinoy,LKCSB,92,85,40,Financial advisor selling unit trusts.
